a b
0.0,256.0
1.0,915.0
2.0,1020.0
3.0,1129.0
4.0,1460.0
5.0,1727.0
6.0,1990.0
7.0,2308.0
8.0,2658.0
9.0,2733.0
10.0,2884.0
11.0,3039.0
12.0,3185.0
13.0,3306.0
14.0,3356.0
15.0,3430.0
16.0,3444.0
17.0,3463.0
18.0,3202.0
19.0,3256.0
20.0,3219.0
21.0,3160.0
22.0,3049.0
23.0,3039.0
24.0,3075.0
25.0,3154.0
26.0,2984.0
27.0,3017.0
28.0,2939.0
29.0,2878.0
30.0,2945.0
31.0,2876.0
32.0,2761.0
33.0,2684.0
34.0,2820.0
35.0,2617.0
36.0,2537.0
37.0,2398.0
38.0,2345.0
39.0,2316.0
40.0,2236.0
41.0,2074.0
42.0,2052.0
43.0,1909.0
44.0,1886.0
45.0,1849.0
46.0,1727.0
47.0,1637.0
48.0,1620.0
49.0,1527.0
50.0,1509.0
51.0,1484.0
52.0,1351.0
53.0,1338.0
54.0,1324.0
55.0,1247.0
56.0,1249.0
57.0,1179.0
58.0,1124.0
59.0,1105.0
60.0,1038.0
61.0,1058.0
62.0,1025.0
63.0,956.0
64.0,936.0
65.0,868.0
66.0,886.0
67.0,909.0
68.0,883.0
69.0,818.0
70.0,744.0
71.0,772.0
72.0,760.0
73.0,734.0
74.0,667.0
75.0,643.0
76.0,647.0
77.0,619.0
78.0,585.0
79.0,601.0
80.0,562.0
81.0,522.0
82.0,544.0
83.0,512.0
84.0,503.0
85.0,498.0
86.0,479.0
87.0,444.0
88.0,415.0
89.0,436.0
90.0,397.0
91.0,394.0
92.0,411.0
93.0,389.0
94.0,372.0
95.0,340.0
96.0,329.0
97.0,294.0
98.0,267.0
99.0,268.0
100.0,250.0
101.0,257.0
102.0,218.0
103.0,198.0
104.0,200.0
105.0,196.0
106.0,177.0
107.0,143.0
108.0,137.0
109.0,115.0
110.0,120.0
111.0,111.0
112.0,104.0
113.0,72.0
114.0,80.0
115.0,58.0
116.0,57.0
117.0,50.0
118.0,44.0
119.0,38.0
120.0,26.0
121.0,28.0
122.0,23.0
123.0,20.0
124.0,19.0
125.0,18.0
126.0,8.0
127.0,17.0
128.0,8.0
129.0,7.0
130.0,5.0
131.0,5.0
132.0,7.0
133.0,5.0
134.0,2.0
135.0,2.0
136.0,5.0
137.0,3.0
138.0,2.0
139.0,1.0
140.0,3.0
141.0,3.0
143.0,2.0
144.0,1.0
145.0,2.0
148.0,1.0
159.0,1.0
185.0,1.0
189.0,1.0
